arm,x_Ez_m,z_Ez_m,Ez_real,Ez_imag,x_Hy_m,z_Hy_m,Hy_real,Hy_imag
baseline,0.0895,0.0032500000000000003,-4.2202244e-12,-4.045699e-12,0.08975,0.00275,1.1857853e-14,9.652481e-15
baseline,0.09,0.0032500000000000003,-4.533921e-12,-3.676718e-12,0.09025,0.00275,1.2651721e-14,8.624311e-15
baseline,0.0905,0.0032500000000000003,-4.8156123e-12,-3.2819283e-12,0.09075,0.00275,1.33562e-14,7.535595e-15
baseline,0.091,0.0032500000000000003,-5.063304e-12,-2.864085e-12,0.09125,0.00275,1.3966448e-14,6.39401e-15
baseline,0.0915,0.0032500000000000003,-5.275255e-12,-2.4261342e-12,0.09175,0.00275,1.4478117e-14,5.2076217e-15
baseline,0.092,0.0032500000000000003,-5.4499933e-12,-1.9711836e-12,0.09225,0.00275,1.4887712e-14,3.9847767e-15
baseline,0.0925,0.0032500000000000003,-5.5862827e-12,-1.5024399e-12,0.09275,0.00275,1.5192261e-14,2.734102e-15
baseline,0.093,0.0032500000000000003,-5.683183e-12,-1.0232012e-12,0.09325,0.00275,1.5389677e-14,1.4644381e-15
baseline,0.0935,0.0032500000000000003,-5.7400035e-12,-5.3685203e-13,0.09375,0.00275,1.5478624e-14,1.8473067e-16
baseline,0.094,0.0032500000000000003,-5.756389e-12,-4.681899e-14,0.09425,0.00275,1.5458448e-14,-1.0960039e-15
baseline,0.0945,0.0032500000000000003,-5.7321873e-12,4.4344926e-13,0.09475,0.00275,1.5329368e-14,-2.3687556e-15
baseline,0.095,0.0032500000000000003,-5.6675975e-12,9.304896e-13,0.09525,0.00275,1.5092259e-14,-3.624534e-15
baseline,0.0955,0.0032500000000000003,-5.5630747e-12,1.4108804e-12,0.09575,0.00275,1.47489e-14,-4.8544877e-15
baseline,0.096,0.0032500000000000003,-5.419383e-12,1.8812328e-12,0.09625,0.00275,1.43016e-14,-6.049991e-15
baseline,0.0965,0.0032500000000000003,-5.23754e-12,2.33823e-12,0.09675,0.00275,1.3753695e-14,-7.202572e-15
baseline,0.097,0.0032500000000000003,-5.018824e-12,2.7786673e-12,0.09725,0.00275,1.3108953e-14,-8.3042365e-15
baseline,0.0975,0.0032500000000000003,-4.7647723e-12,3.1994414e-12,0.09775,0.00275,1.237196e-14,-9.3470585e-15
baseline,0.098,0.0032500000000000003,-4.477236e-12,3.5975832e-12,0.09825,0.00275,1.1547946e-14,-1.032383e-14
baseline,0.0985,0.0032500000000000003,-4.15819e-12,3.970298e-12,0.09875,0.00275,1.0642689e-14,-1.12276614e-14
baseline,0.099,0.0032500000000000003,-3.8098934e-12,4.314981e-12,0.09925,0.00275,9.6626105e-15,-1.2052157e-14
baseline,0.0995,0.0032500000000000003,-3.4348438e-12,4.6291772e-12,0.09975,0.00275,8.6147e-15,-1.27915434e-14
baseline,0.1,0.0032500000000000003,-3.0356707e-12,4.910728e-12,0.10025,0.00275,7.506221e-15,-1.34406375e-14
