tag,theta_deg,refine,plane,frequency_Hz,native_s_params,diagnostic_magnitude,diagnostic_phase_deg,analytic_reported_angle_magnitude,analytic_reported_angle_phase_deg,analytic_normal_magnitude,analytic_normal_phase_deg,magnitude_error_db_at_angle,magnitude_error_db_at_normal,phase_error_deg_at_angle,phase_error_deg_at_normal
full_theta45_r1,45.0,1,source_plane,4250000000.0,None,0.5419222712516785,-34.843833923339844,0.7323980481289036,30.156705042387728,0.5892305891148852,-38.62799299956749,-2.616203574829374,-0.7269657018753675,-65.00054025884559,3.7841577831096314
full_theta45_r1,45.0,1,source_plane,4375000000.0,None,0.5660702586174011,-48.95650863647461,0.736290581949873,23.917883612915617,0.592544599053349,-47.20833868292012,-2.283578154922067,-0.39701412683566895,-72.8743896144711,-1.7481673186353566
full_theta45_r1,45.0,1,source_plane,4500000000.0,None,0.588201642036438,-62.32652282714844,0.7396644005479653,17.696075370238734,0.5952407889492943,-55.77867360671647,-1.990169688050939,-0.10332902164875263,-80.0225946619825,-6.547845685027302
full_theta45_r1,45.0,1,source_plane,4625000000.0,None,0.6060190200805664,-75.17850494384766,0.7425382372479639,11.488962323310435,0.5973283062115685,-64.34100437488237,-1.7646513572744913,0.12546318484723656,-86.66746776986285,-10.837501071670046
full_theta45_r1,45.0,1,source_plane,4750000000.0,None,0.6201016306877136,-87.010009765625,0.7449280072694343,5.2942780702734895,0.5988142840279309,-72.89733494667621,-1.5930285891349145,0.3034144405169847,-92.30428192804303,-14.11266891109333
full_theta45_r1,45.0,1,source_plane,4875000000.0,None,0.6300971508026123,-98.33231353759766,0.7468469118989758,-0.8901994353442281,0.5997038266394056,-81.44966689265497,-1.4764814756303724,0.4294139156334493,-97.44210925578456,-16.88264179847382
full_theta45_r1,45.0,1,source_plane,5000000000.0,None,0.6345323920249939,-108.55233001708984,0.7483055274047621,-7.066655340409728,0.5999999999999999,-89.99999999999999,-1.432503120641666,0.48605093524068416,-101.48566742173541,-18.55232276214514
full_theta45_r1,45.0,1,source_plane,5125000000.0,None,0.6363084316253662,-118.31986236572266,0.7493118778489132,-13.237245502826172,0.5997038266394056,-98.55033310734501,-1.4198987780818115,0.514617160307498,-105.08260084412049,-19.769513239601658
full_theta45_r1,45.0,1,source_plane,5250000000.0,None,0.6305915117263794,-126.95658111572266,0.7498714912362394,-19.404104206854313,0.598814284027931,-107.10266505332372,-1.5047744464955586,0.4491193820729921,-107.55247066505136,-19.853909818581972
full_theta45_r1,45.0,1,source_plane,5375000000.0,None,0.6251442432403564,-135.0874481201172,0.7499874386406727,-25.569351945645426,0.5973283062115684,-115.65899562511754,-1.5814750661918038,0.39534281309155817,-109.51808362999107,-19.428439950518968
full_theta45_r1,45.0,1,source_plane,5500000000.0,None,0.6110617518424988,-142.03170776367188,0.7496603560956216,-31.735103242474125,0.5952407889492942,-124.22132639328346,-1.77558888165961,0.227848343136504,-110.29659417749806,-17.81037102668875
full_theta45_r1,45.0,1,source_plane,5625000000.0,None,0.6030759215354919,-148.25314331054688,0.7488884491411515,-37.90347448771236,0.5925445990533489,-132.79166131707973,-1.8809028588456178,0.15301890362800305,-110.34965558890026,-15.461468759532877
